arquivo,habilidade,temas,nivel_bloom,bloom_divergente,dificuldade,natureza,formato,aprovada,iteracoes,veredicto,garantia,nota_minima_critico,tipos,sem_conferencia
ciclo-058_EM13MAT501_aprovada.md,EM13MAT501,funcao_afim,criar,False,dificil,teorica,multipla_escolha,True,1,aprovado,conferido,3,propriedade=aprovado,
ciclo-059_EM13MAT507_aprovada.md,EM13MAT507,progressao_aritmetica; funcao_afim,aplicar,False,dificil,aplicada,multipla_escolha,True,1,aprovado,conferido,4,propriedade=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
ciclo-060_EM13MAT304_descartada.md,EM13MAT304,funcao_exponencial,criar,False,facil,aplicada,discursiva,False,3,rejeitado,sem_conferencia,,funcao/valor=aprovado; equacao=aprovado; equacao=rejeitado; propriedade=aprovado,
ciclo-061_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,entender,False,facil,teorica,discursiva,True,2,aprovado,conferido,3,funcao/zeros=aprovado; funcao/zeros=aprovado; funcao/zeros=aprovado; funcao/crescimento=aprovado; funcao/crescimento=aprovado; funcao/valor=aprovado,
ciclo-062_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,facil,aplicada,discursiva,True,1,aprovado,conferido,3,funcao/periodo=aprovado; funcao/dominio=aprovado; funcao/imagem=aprovado,
ciclo-063_EM13MAT502_aprovada.md,EM13MAT502,funcao_quadratica,analisar,False,facil,teorica,discursiva,True,3,aprovado,conferido,3,propriedade=aprovado,
ciclo-064_EM13MAT508_aprovada.md,EM13MAT508,progressao_geometrica; funcao_exponencial,aplicar,False,facil,aplicada,discursiva,True,1,aprovado,conferido,4,progressao/termo=aprovado; propriedade=aprovado; funcao/valor=aprovado; funcao/dominio=aprovado,
ciclo-065_EM13MAT304_descartada.md,EM13MAT304,funcao_exponencial,criar,False,media,teorica,discursiva,False,3,aprovado,conferido,2,funcao/crescimento=aprovado; funcao/crescimento=aprovado; equacao=aprovado; funcao/valor=aprovado; funcao/valor=aprovado; funcao/valor=aprovado,
ciclo-066_EM13MAT401_aprovada.md,EM13MAT401,funcao_afim,aplicar,False,media,aplicada,discursiva,True,1,aprovado,conferido,3,equacao=aprovado; funcao/zeros=aprovado; funcao/valor=aprovado; funcao/crescimento=aprovado; funcao/crescimento=aprovado,
ciclo-067_EM13MAT404_aprovada.md,EM13MAT404,funcao_trigonometrica,entender,False,media,teorica,discursiva,True,1,aprovado,conferido,3,funcao/dominio=aprovado; funcao/periodo=aprovado; funcao/imagem=aprovado,
